date_key,category_key,bucket_key,total_listings,total_revenue
2023-12-01,17,2,5,164.96
2023-12-01,17,4,15,3033.91
2023-12-01,17,3,11,783.94
2023-12-01,18,2,5,164.97
2023-12-01,18,4,14,2156.93
2023-12-01,18,3,13,928.9
2023-12-01,25,2,2,70.98
2023-12-01,25,4,6,1025.95
2023-12-01,25,3,6,407.95
2023-12-01,28,2,11,366.92
2023-12-01,28,4,5,753.95
2023-12-01,28,3,12,912.95
2023-12-01,32,4,15,5070.87
2023-12-01,32,6,9,12105.95
2023-12-01,32,5,11,7342.96
2023-12-01,45,4,15,4039.9
2023-12-01,45,3,4,364.97
2023-12-01,45,5,8,6116.94
2023-12-01,51,2,14,403.87
2023-12-01,51,4,7,916.96
2023-12-01,51,3,11,826.93
2023-12-01,58,4,10,3527.92
2023-12-01,58,6,7,10218.93
2023-12-01,58,5,12,8814.91
2023-12-01,77,4,28,5589.79
2023-12-01,77,3,9,676.93
2023-12-01,77,5,2,1001.98
2023-12-01,96,2,9,263.96
2023-12-01,96,4,13,1932.94
2023-12-01,96,3,18,1273.87
2023-12-01,97,2,2,74.98
2023-12-01,97,4,28,6661.8
2023-12-01,97,3,9,680.94
2023-12-01,104,2,9,300.93
2023-12-01,104,4,7,1079.97
2023-12-01,104,3,15,1000.88
2023-12-01,132,2,8,289.92
2023-12-01,132,4,9,1437.94
2023-12-01,132,3,14,1089.92
2023-12-01,162,2,7,231.94
2023-12-01,162,4,13,2330.92
2023-12-01,162,3,12,829.93
2023-12-01,198,2,4,146.98
2023-12-01,198,4,6,932.96
2023-12-01,198,3,7,579.95
2023-12-01,206,2,15,557.9
2023-12-01,206,4,9,1394.93
2023-12-01,206,3,13,876.92
2023-12-01,216,2,18,483.9
2023-12-01,216,4,2,200.0
2023-12-01,216,3,8,554.94
2023-12-01,229,2,11,344.91
2023-12-01,229,4,12,2199.95
2023-12-01,229,3,10,745.92
2024-01-01,17,2,22,827.9
2024-01-01,17,4,66,11761.56
2024-01-01,17,3,38,2773.72
2024-01-01,18,2,38,1238.69
2024-01-01,18,4,40,6332.72
2024-01-01,18,3,41,2843.7
2024-01-01,25,2,39,1369.74
2024-01-01,25,4,44,6740.72
2024-01-01,25,3,42,3114.75
2024-01-01,28,2,33,1143.78
2024-01-01,28,4,37,5818.75
2024-01-01,28,3,57,4090.65
2024-01-01,32,4,55,16889.55
2024-01-01,32,6,24,31492.83
2024-01-01,32,5,45,31288.67
2024-01-01,45,2,1,33.99
2024-01-01,45,4,83,22551.44
2024-01-01,45,3,7,533.96
2024-01-01,45,5,30,19578.79
2024-01-01,51,2,49,1620.72
2024-01-01,51,4,26,3395.79
2024-01-01,51,3,38,2702.7
2024-01-01,58,4,45,14837.69
2024-01-01,58,6,39,55912.73
2024-01-01,58,5,44,32037.67
2024-01-01,77,2,6,234.96
2024-01-01,77,4,90,18885.39
2024-01-01,77,3,16,1300.89
2024-01-01,77,5,9,4505.94
2024-01-01,96,2,23,746.82
2024-01-01,96,4,38,5912.74
2024-01-01,96,3,53,3784.61
2024-01-01,97,2,11,397.93
2024-01-01,97,4,93,19348.36
2024-01-01,97,3,32,2506.77
2024-01-01,104,2,26,882.77
2024-01-01,104,4,48,7514.71
2024-01-01,104,3,49,3412.67
2024-01-01,132,2,31,1053.78
2024-01-01,132,4,44,6659.64
2024-01-01,132,3,49,3578.65
2024-01-01,162,2,42,1411.66
2024-01-01,162,4,50,7895.7
2024-01-01,162,3,37,2856.77
2024-01-01,198,2,40,1385.74
2024-01-01,198,4,44,6940.73
2024-01-01,198,3,52,3712.61
2024-01-01,206,2,35,1196.75
2024-01-01,206,4,38,5918.72
2024-01-01,206,3,45,3236.72
2024-01-01,216,1,8,54.94
2024-01-01,216,2,87,2279.36
2024-01-01,216,4,14,1412.87
2024-01-01,216,3,36,2378.76
2024-01-01,229,2,35,1290.79
2024-01-01,229,4,39,6008.75
2024-01-01,229,3,50,3644.63
2024-02-01,17,2,19,690.84
2024-02-01,17,4,61,11324.56
2024-02-01,17,3,37,2662.75
2024-02-01,18,2,35,1161.77
2024-02-01,18,4,41,6173.76
2024-02-01,18,3,44,3089.68
2024-02-01,25,2,38,1235.72
2024-02-01,25,4,44,7211.72
2024-02-01,25,3,37,2823.71
2024-02-01,28,2,28,920.8
2024-02-01,28,4,25,3899.78
2024-02-01,28,3,50,3740.66
2024-02-01,32,4,40,12802.77
2024-02-01,32,6,16,21991.88
2024-02-01,32,5,36,26454.75
2024-02-01,45,2,1,49.0
2024-02-01,45,4,83,21498.35
2024-02-01,45,3,11,844.91
2024-02-01,45,5,28,19019.83
2024-02-01,51,2,34,1184.79
2024-02-01,51,4,22,2920.83
2024-02-01,51,3,45,3415.63
2024-02-01,58,4,42,15081.71
2024-02-01,58,6,44,64170.71
2024-02-01,58,5,42,29270.72
2024-02-01,77,2,3,113.97
