date_key,category_key,bucket_key,total_listings,total_revenue
2020-11-01,122,4,2,470.12
2021-09-01,95,2,1,15.99
2022-01-01,110,4,1,120.0
2022-04-01,45,4,1,200.0
2022-08-01,145,1,2,11.98
2023-03-01,81,4,2,550.0
2023-03-01,160,3,1,98.0
2023-05-01,2,3,2,164.0
2023-05-01,190,2,1,28.0
2023-07-01,94,3,1,90.0
2023-08-01,87,3,1,59.0
2023-10-01,108,4,1,299.0
2023-12-01,17,2,3,121.97
2023-12-01,17,4,20,3411.84
2023-12-01,17,3,3,253.97
2023-12-01,18,2,7,256.95
2023-12-01,18,4,7,949.95
2023-12-01,18,3,5,375.97
2023-12-01,25,2,8,257.96
2023-12-01,25,4,13,1704.89
2023-12-01,25,3,6,452.95
2023-12-01,28,2,10,332.91
2023-12-01,28,4,7,1090.94
2023-12-01,28,3,12,846.93
2023-12-01,32,4,14,4538.89
2023-12-01,32,6,7,9746.95
2023-12-01,32,5,8,4938.95
2023-12-01,45,4,17,5185.88
2023-12-01,45,5,2,1445.0
2023-12-01,51,2,14,459.88
2023-12-01,51,4,5,645.97
2023-12-01,51,3,10,658.92
2023-12-01,58,4,8,3039.93
2023-12-01,58,6,10,15227.93
2023-12-01,58,5,6,4005.94
2023-12-01,77,2,1,32.99
2023-12-01,77,4,17,3826.88
2023-12-01,77,3,2,166.99
2023-12-01,77,5,1,500.99
2023-12-01,96,2,10,330.93
2023-12-01,96,4,11,1626.91
2023-12-01,96,3,15,1059.9
2023-12-01,97,2,2,65.99
2023-12-01,97,4,18,4211.89
2023-12-01,97,3,3,236.99
2023-12-01,104,2,5,165.96
2023-12-01,104,4,15,2300.9
2023-12-01,104,3,9,617.96
2023-12-01,108,4,3,750.0
2023-12-01,132,2,6,236.96
2023-12-01,132,4,14,2037.92
2023-12-01,132,3,7,522.94
2023-12-01,162,2,6,189.96
2023-12-01,162,4,7,1051.95
2023-12-01,162,3,17,1267.87
2023-12-01,198,2,7,233.95
2023-12-01,198,4,5,752.96
2023-12-01,198,3,9,601.94
2023-12-01,206,2,5,140.97
