date_key,category_key,seller_name,total_listings,total_revenue
2023-12-01,17,seller_ma_019,1,274.99
2023-12-01,17,seller_ma_030,1,114.99
2023-12-01,17,seller_ma_032,1,32.99
2023-12-01,17,seller_ma_035,2,144.99
2023-12-01,17,seller_ma_038,1,148.99
2023-12-01,17,seller_ma_050,1,18.99
2023-12-01,17,seller_ma_056,1,78.0
2023-12-01,17,seller_ma_085,1,58.99
2023-12-01,17,seller_ma_087,1,41.0
2023-12-01,17,seller_ma_088,1,56.99
2023-12-01,17,seller_ma_091,1,162.0
2023-12-01,17,seller_ma_093,1,151.0
2023-12-01,17,seller_ma_109,1,56.0
2023-12-01,17,seller_ma_117,2,339.98
2023-12-01,17,seller_ma_131,1,77.99
2023-12-01,17,seller_ma_132,1,184.99
2023-12-01,17,seller_ma_143,1,187.0
2023-12-01,17,seller_ma_151,2,117.99
2023-12-01,17,seller_ma_164,1,42.99
2023-12-01,17,seller_ma_172,1,162.99
2023-12-01,17,seller_ma_174,1,236.99
2023-12-01,17,seller_ma_177,1,151.0
2023-12-01,17,seller_ma_184,2,112.98
2023-12-01,17,seller_ma_198,1,216.0
2023-12-01,18,casablanca_tech,1,170.99
2023-12-01,18,seller_ma_004,1,107.0
2023-12-01,18,seller_ma_007,1,45.99
2023-12-01,18,seller_ma_035,1,66.0
2023-12-01,18,seller_ma_037,1,41.99
2023-12-01,18,seller_ma_039,1,32.0
2023-12-01,18,seller_ma_047,1,99.99
2023-12-01,18,seller_ma_054,1,19.99
2023-12-01,18,seller_ma_063,1,100.99
2023-12-01,18,seller_ma_065,2,187.98
2023-12-01,18,seller_ma_070,1,126.99
2023-12-01,18,seller_ma_080,1,168.0
2023-12-01,18,seller_ma_099,1,36.99
2023-12-01,18,seller_ma_120,1,27.99
2023-12-01,18,seller_ma_134,1,56.99
2023-12-01,18,seller_ma_136,1,96.99
2023-12-01,18,seller_ma_144,1,77.99
2023-12-01,18,seller_ma_146,1,132.99
2023-12-01,18,seller_ma_148,1,105.99
2023-12-01,18,seller_ma_153,1,95.99
2023-12-01,18,seller_ma_166,1,195.0
2023-12-01,18,seller_ma_174,1,55.0
2023-12-01,18,seller_ma_179,1,53.99
2023-12-01,18,seller_ma_188,1,41.99
2023-12-01,18,seller_ma_189,1,86.99
2023-12-01,18,seller_ma_192,1,27.99
