date_key,category_key,seller_name,total_listings,total_revenue
2023-12-01,17,rabat_deals,1,55.99
2023-12-01,17,seller_ma_001,2,281.99
2023-12-01,17,seller_ma_003,1,34.99
2023-12-01,17,seller_ma_018,1,246.99
2023-12-01,17,seller_ma_028,2,98.98
2023-12-01,17,seller_ma_032,1,131.0
2023-12-01,17,seller_ma_040,1,300.99
2023-12-01,17,seller_ma_055,1,94.0
2023-12-01,17,seller_ma_060,1,177.99
2023-12-01,17,seller_ma_064,1,122.99
2023-12-01,17,seller_ma_075,1,56.0
2023-12-01,17,seller_ma_088,2,335.98
2023-12-01,17,seller_ma_096,1,144.0
2023-12-01,17,seller_ma_121,1,300.99
2023-12-01,17,seller_ma_128,1,23.0
2023-12-01,17,seller_ma_136,1,196.0
2023-12-01,17,seller_ma_137,1,61.99
2023-12-01,17,seller_ma_147,1,63.0
2023-12-01,17,seller_ma_158,1,137.0
2023-12-01,17,seller_ma_167,1,74.99
2023-12-01,17,seller_ma_177,1,151.99
2023-12-01,17,seller_ma_183,1,52.99
2023-12-01,17,seller_ma_184,1,110.0
2023-12-01,17,seller_ma_187,1,44.99
2023-12-01,17,seller_ma_189,1,77.0
2023-12-01,17,seller_ma_193,1,82.0
2023-12-01,17,seller_ma_195,1,223.99
2023-12-01,17,seller_ma_199,1,300.99
2023-12-01,18,atlas_trading,1,68.99
2023-12-01,18,marrakech_electronics,1,104.0
2023-12-01,18,seller_ma_001,1,118.0
2023-12-01,18,seller_ma_016,1,200.0
2023-12-01,18,seller_ma_020,1,200.99
2023-12-01,18,seller_ma_021,1,72.99
2023-12-01,18,seller_ma_029,1,107.99
2023-12-01,18,seller_ma_038,1,70.99
2023-12-01,18,seller_ma_046,1,38.99
2023-12-01,18,seller_ma_049,1,164.99
2023-12-01,18,seller_ma_052,1,159.99
2023-12-01,18,seller_ma_069,1,122.99
2023-12-01,18,seller_ma_088,1,188.0
2023-12-01,18,seller_ma_093,1,59.0
2023-12-01,18,seller_ma_098,1,193.99
2023-12-01,18,seller_ma_102,1,41.99
2023-12-01,18,seller_ma_106,1,99.99
2023-12-01,18,seller_ma_112,2,110.99
2023-12-01,18,seller_ma_117,1,20.99
2023-12-01,18,seller_ma_131,1,99.99
2023-12-01,18,seller_ma_134,1,39.0
2023-12-01,18,seller_ma_135,1,103.0
2023-12-01,18,seller_ma_137,1,188.99
2023-12-01,18,seller_ma_145,1,62.99
2023-12-01,18,seller_ma_167,1,200.0
2023-12-01,18,seller_ma_168,1,53.0
2023-12-01,18,seller_ma_174,1,104.0
2023-12-01,18,seller_ma_186,1,61.0
2023-12-01,18,seller_ma_187,1,56.99
2023-12-01,18,seller_ma_199,2,135.98
2023-12-01,25,seller_ma_010,1,76.0
2023-12-01,25,seller_ma_022,1,81.99
2023-12-01,25,seller_ma_041,1,44.99
2023-12-01,25,seller_ma_059,1,116.99
2023-12-01,25,seller_ma_066,1,51.99
2023-12-01,25,seller_ma_116,1,189.99
2023-12-01,25,seller_ma_119,1,200.99
2023-12-01,25,seller_ma_124,1,200.99
2023-12-01,25,seller_ma_136,1,67.99
2023-12-01,25,seller_ma_146,1,68.99
2023-12-01,25,seller_ma_157,1,60.99
2023-12-01,25,seller_ma_171,1,129.0
2023-12-01,25,seller_ma_175,1,187.99
2023-12-01,25,seller_ma_181,1,25.99
2023-12-01,28,rabat_deals,1,174.99
2023-12-01,28,seller_ma_001,1,32.99
2023-12-01,28,seller_ma_011,1,29.0
