date_key,category_key,seller_name,total_listings,total_revenue
2020-07-01,47,nikine,1.0,6.0
2020-07-01,47,thlarh-0,1.0,6.0
2020-07-01,47,zakba18,1.0,6.0
2020-07-01,47,drik-oui,1.0,6.0
2020-07-01,47,na_543592,1.0,6.0
2020-07-01,47,mari-393918,1.0,6.0
2020-07-01,47,xiccm59,1.0,6.0
2020-07-01,47,lorobr88,1.0,6.0
2020-07-01,47,ofechko0,1.0,6.0
2020-07-01,47,maama5244,1.0,6.0
2020-07-01,47,moroccan-inspiration,1.0,6.0
2020-07-01,47,amelbr38,1.0,6.0
2020-07-01,47,malaki_parts,1.0,6.0
2020-07-01,47,oldthingo,1.0,6.0
2020-07-01,47,rd50_11,1.0,6.0
2020-07-01,47,aayeaaye,1.0,6.0
2020-07-01,47,carluxshop,1.0,6.0
2020-07-01,47,elb-2305,1.0,6.0
2020-07-01,47,moh9377,1.0,6.0
2020-07-01,47,prefect-store_9,1.0,6.0
2020-07-01,47,abdelhak-54,1.0,6.0
2020-07-01,47,abuhmeed,1.0,6.0
2020-07-01,47,bouz5514,1.0,6.0
2020-07-01,47,inasclothes,1.0,6.0
2020-07-01,47,hagha-647,1.0,6.0
2020-07-01,47,baq_8122,1.0,6.0
2020-07-01,47,hamna_2887,1.0,6.0
2020-07-01,47,dadiadnastore,1.0,6.0
2020-07-01,47,oudaar-0,1.0,6.0
2020-07-01,47,abderada-0,1.0,6.0
2020-07-01,47,jamila-9s,1.0,6.0
2020-07-01,47,redwan_jaid,1.0,6.0
2020-07-01,47,handaa01,1.0,6.0
2020-07-01,47,anasse28,1.0,6.0
2020-07-01,47,bossiboyd,1.0,6.0
2020-07-01,47,henzu96,1.0,6.0
2020-07-01,47,andalusiaantique,1.0,6.0
2020-07-01,47,rbtopstore,1.0,6.0
2020-07-01,47,be_clothing,1.0,6.0
2020-07-01,47,pickzilla,1.0,6.0
2020-07-01,47,shoptalbin,1.0,6.0
2020-07-01,47,chicteeco,1.0,6.0
2020-07-01,47,vintagewatches07,1.0,6.0
2020-07-01,47,btissam.51,1.0,6.0
2020-07-01,47,merzag.ayoub,1.0,6.0
2020-07-01,47,jasnd_0,1.0,6.0
2020-07-01,47,nefa7560,1.0,6.0
2020-07-01,47,othyvintage,1.0,6.0
2020-07-01,47,z-retro,1.0,6.0
2020-07-01,47,solazena0,1.0,6.0
2020-11-01,122,bouz5514,1.0,235.06
2020-11-01,122,nefa7560,1.0,235.06
2020-11-01,122,hagha-647,1.0,235.06
2020-11-01,122,carluxshop,1.0,235.06
2020-11-01,122,z-retro,1.0,235.06
2020-11-01,122,jasnd_0,1.0,235.06
2020-11-01,122,zakba18,1.0,235.06
2020-11-01,122,aayeaaye,1.0,235.06
2020-11-01,122,malaki_parts,1.0,235.06
2020-11-01,122,moroccan-inspiration,1.0,235.06
2020-11-01,122,handaa01,1.0,235.06
2020-11-01,122,ofechko0,1.0,235.06
2020-11-01,122,othyvintage,1.0,235.06
2020-11-01,122,oudaar-0,1.0,235.06
2020-11-01,122,baq_8122,1.0,235.06
2020-11-01,122,pickzilla,1.0,235.06
2020-11-01,122,na_543592,1.0,235.06
2020-11-01,122,jamila-9s,1.0,235.06
2020-11-01,122,xiccm59,1.0,235.06
2020-11-01,122,prefect-store_9,1.0,235.06
2020-11-01,122,abuhmeed,1.0,235.06
2020-11-01,122,bossiboyd,1.0,235.06
2020-11-01,122,dadiadnastore,1.0,235.06
2020-11-01,122,elb-2305,1.0,235.06
2020-11-01,122,thlarh-0,1.0,235.06
2020-11-01,122,btissam.51,1.0,235.06
2020-11-01,122,maama5244,1.0,235.06
2020-11-01,122,rbtopstore,1.0,235.06
2020-11-01,122,vintagewatches07,1.0,235.06
2020-11-01,122,hamna_2887,1.0,235.06
2020-11-01,122,henzu96,1.0,235.06
2020-11-01,122,merzag.ayoub,1.0,235.06
2020-11-01,122,shoptalbin,1.0,235.06
2020-11-01,122,be_clothing,1.0,235.06
2020-11-01,122,chicteeco,1.0,235.06
2020-11-01,122,lorobr88,1.0,235.06
2020-11-01,122,oldthingo,1.0,235.06
2020-11-01,122,drik-oui,1.0,235.06
2020-11-01,122,inasclothes,1.0,235.06
2020-11-01,122,moh9377,1.0,235.06
2020-11-01,122,rd50_11,1.0,235.06
2020-11-01,122,amelbr38,1.0,235.06
2020-11-01,122,mari-393918,1.0,235.06
2020-11-01,122,andalusiaantique,1.0,235.06
2020-11-01,122,abdelhak-54,1.0,235.06
2020-11-01,122,redwan_jaid,1.0,235.06
2020-11-01,122,solazena0,1.0,235.06
2020-11-01,122,abderada-0,1.0,235.06
2020-11-01,122,anasse28,1.0,235.06
2020-11-01,122,nikine,1.0,235.06
2021-09-01,95,malaki_parts,1.0,15.99
2021-09-01,95,bossiboyd,1.0,15.99
2021-09-01,95,jamila-9s,1.0,15.99
2021-09-01,95,merzag.ayoub,1.0,15.99
2021-09-01,95,abderada-0,1.0,15.99
2021-09-01,95,elb-2305,1.0,15.99
2021-09-01,95,nefa7560,1.0,15.99
2021-09-01,95,z-retro,1.0,15.99
2021-09-01,95,redwan_jaid,1.0,15.99
2021-09-01,95,btissam.51,1.0,15.99
2021-09-01,95,shoptalbin,1.0,15.99
2021-09-01,95,pickzilla,1.0,15.99
